name,email,phone,address,city,state,zip,google_rating,google_review_count,notes
Demaine Life Celebration Center of Loudoun County,,(571) 685-7984,45511 Severn Way,Sterling,VA,20166,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. SCI / Dignity Memorial.
Money & King Funeral Home,,(703) 938-7440,171 Maple Ave W,Vienna,VA,22180,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting.
Moser Funeral Home Inc.,,(540) 347-3431,233 Broadview Ave,Warrenton,VA,20186,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: moserfuneralhome.com.
Miller Funeral Home & Crematory Inc.,,(703) 878-2273,3200 Golansky Blvd,Woodbridge,VA,22192,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: millerfuneralhome.net.
Mountcastle Turch Funeral Home & Crematory,,(703) 680-1234,4143 Dale Blvd,Woodbridge,VA,22193,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: mountcastle.net. Dale City.
Randall Funeral Home,,(703) 490-8112,1247 Easy St,Woodbridge,VA,22191,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: randallfuneralhomes.com.
Going Home Cremation & Funeral Care by Value Choice P.A. (Rockville),,(301) 296-6864,170 Rollins Ave Ste 100,Rockville,MD,20852,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: goinghomecares.com. Main location is Woodbine (Carroll County, outside the market). Cremation-focused; confirm the Rockville office is a licensed establishment, not only an arrangement office. Same building as Sagel Bloomfield and Shomrei Neshama (different suites)."
Potomac Valley Cremation Center,,,12 Executive Park Ct,Germantown,MD,20874,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: germantown.potomaccremation.com. Owns its crematory. Also marketed through veteransfuneralhomes.com, americasbestfuneralhomes.com and cremation-with-care.com pages that point here; import once. Confirm it holds its own establishment license. Phone not captured."
Funeraria Unida P.A.,,(301) 859-3968,2446 Reedie Dr #6,Wheaton,MD,20902,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: funerariaunida.com. Price list PDF found (not opened; the host is blocked here). Its header reads ""Operating out of:"", so it may work from another home's licensed facility; confirm."
Sewell Funeral Home,,(410) 535-1646,1451 Dares Beach Rd,Prince Frederick,MD,20678,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: sewellfuneralhome.com. Calvert County.
Rausch Funeral Home (Port Republic),,(410) 586-0520,4405 Broomes Island Rd,Port Republic,MD,20676,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: rauschfuneralhomes.com. Calvert County; the third Rausch location (Owings and Lusby are their own rows).
Briscoe-Tonic Funeral Home (Mechanicsville),,(301) 884-8070,38576 Brett Way,Mechanicsville,MD,20659,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: briscoe-tonicfuneralhome.com. St. Mary's County; Briscoe-Tonic's second location (Waldorf is its own row).
Brinsfield Funeral Home (Charlotte Hall),,(301) 472-4400,30195 Three Notch Rd,Charlotte Hall,MD,20622,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: brinsfieldfuneral.com. Some listings say ""Brinsfield-Echols"". Brinsfield's second location (Leonardtown is its own row)."
Adams Funeral Home P.A.,,(301) 579-6043,20605 Aquasco Rd,Aquasco,MD,20608,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: adamsfuneralhomemd.com. Southern Prince George's County.
Williams Funeral Home P.A.,,(301) 743-5478,4270 Hawthorne Rd,Indian Head,MD,20640,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: williamsfuneralhomepa.com. Charles County.
Thornton Funeral Home P.A.,,(301) 375-7855,3439 Livingston Rd,Indian Head,MD,20640,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: thorntonfuneralhomepa.com. Charles County.
Freeman Funeral Services P.A.,,(301) 877-3733,7201 Old Alexandria Ferry Rd,Clinton,MD,20735,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: freemanfuneralservicespa.com. Directories give three phone numbers ((301) 877-3733, (301) 316-3733, (301) 868-1800); confirm."
Donaldson Funeral Home P.A. (Laurel),,(301) 725-1690,313 Talbott Ave,Laurel,MD,20707,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: donaldsonlaurel.com.
Robert E. Evans Funeral Home,,(301) 464-8836,16000 Annapolis Rd,Bowie,MD,20715,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: dignitymemorial.com. SCI / Dignity Memorial. The price-list download is on the location page.
Genesis Cremation & Funeral Services,,,5732 Georgia Ave NW,Washington,DC,20011,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: genesiscremationandfuneral.com. Same address as Snead Funeral Home (and one Rollins listing); it may operate from Snead's establishment. Confirm with DLCP. Phone not captured.
Funeral Choices of Chantilly,,(703) 378-6896,14522-L Lee Rd,Chantilly,VA,20151,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: funeralchoices.com. Funeral Choices' second location (Alexandria is its own row).
Lay To Rest Cremation & Funeral Home,,(703) 372-1177,8434 Alban Rd,Springfield,VA,22150,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: laytorestfuneralhome.com. Also laytorestcremation.com.
Direct Cremation Services of Virginia,,,4425 Brookfield Corporate Dr Ste 100,Chantilly,VA,20151,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: directcremationservicesofvirginia.com. Cremation only. Another listing gives 4229 Lafayette Center Dr, Chantilly, and there is a Stephens City location (outside the market). Confirm it holds its own Virginia establishment license (brokers are never imported). Phone not captured."
Northern Virginia Burial & Cremation Society,,(703) 560-0552,811 Cameron St,Alexandria,VA,22314,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: novacremate.com. A 2021 price list is posted, so ask for the current one. Confirm it holds its own Virginia establishment license (brokers are never imported). Phone not captured. Same address as Cunningham Turch Funeral Home, and appears to be its cremation brand: if it holds no separate establishment license, drop this row (one licensed establishment, one row)."
Reese Funeral Professionals,,(703) 646-9320,311 N Patrick St,Alexandria,VA,22314,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: reesefuneralprofessionals.com.
Olde Towne Funeral Home of Manassas,,(703) 257-1700,9320 West St,Manassas,VA,20110,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: manassasfuneralhome.com. Has its own crematory. A 2022 price list is posted, so check for a current one."
Joynes Funeral Home Inc.,,(540) 347-3331,29 N Third St,Warrenton,VA,20186,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: joynesfuneralhome.com. Fauquier County. Mailing address PO Box 3633, Warrenton 20188."
Alfirdaus Jinnazah Services LLC,,(703) 967-6311,7903 Hill Park Ct #8,Lorton,VA,22079,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: alfirdausjinnaza.com. Muslim funeral services (washing, shrouding, janazah, repatriation). Confirm it holds its own Virginia establishment license; it may work through a licensed home."
